,,,,,,,,,
Branch,Degree,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Applied Electronics and Instrumentation,B. Tech.,69 %,87 %,53 %,67 %,30 %,20 %,60 %,Placed
Mechanical Engineering,B. Tech.,76 %,80 %,73 %,73 %,55 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,71 %,73 %,73 %,67 %,55 %,47 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,71 %,93 %,40 %,80 %,50 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,64 %,73 %,47 %,73 %,55 %,53 %,20 %,
Information Technology,B. Tech.,76 %,73 %,80 %,73 %,30 %,60 %,20 %,
Electronics and Communications Engineering,B. Tech.,64 %,60 %,53 %,80 %,60 %,20 %,58 %,
Computer Science Engineering,B. Tech.,60 %,73 %,47 %,60 %,45 %,40 %,36 %,
Information Technology,B. Tech.,69 %,80 %,47 %,80 %,25 %,27 %,20 %,
Mechanical Engineering,B. Tech.,67 %,80 %,53 %,67 %,50 %,20 %,00 %,Placed
Mechanical Engineering,B. Tech.,64 %,67 %,60 %,67 %,60 %,27 %,20 %,Placed
Mechanical Engineering,B. Tech.,64 %,73 %,47 %,73 %,55 %,20 %,00 %,Placed
Electrical Engineering,B. Tech.,64 %,60 %,73 %,60 %,55 %,40 %,20 %,Placed
Computer Science Engineering,B. Tech.,60 %,73 %,47 %,60 %,50 %,53 %,20 %,Placed
Applied Electronics and Instrumentation,B. Tech.,62 %,67 %,53 %,67 %,35 %,33 %,20 %,Placed
Mechanical Engineering,B. Tech.,64 %,87 %,27 %,80 %,40 %,13 %,00 %,Placed
Mechanical Engineering,B. Tech.,60 %,67 %,53 %,60 %,65 %,33 %,00 %,Placed
Computer Science Engineering,B. Tech.,56 %,60 %,40 %,67 %,45 %,47 %,56 %,Placed
Applied Electronics and Instrumentation,B. Tech.,58 %,73 %,40 %,60 %,40 %,53 %,20 %,Placed
Mechanical Engineering,B. Tech.,62 %,53 %,87 %,47 %,60 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,60 %,60 %,60 %,60 %,35 %,40 %,20 %,Placed
Mechanical Engineering,B. Tech.,64 %,73 %,40 %,80 %,40 %,40 %,00 %,Placed
Mechanical Engineering,B. Tech.,64 %,87 %,40 %,67 %,30 %,27 %,00 %,Placed
Computer Science Engineering,B. Tech.,56 %,53 %,47 %,67 %,65 %,53 %,20 %,
Computer Science Engineering,B. Tech.,64 %,73 %,47 %,73 %,60 %,40 %,00 %,
Mechanical Engineering,B. Tech.,67 %,87 %,53 %,60 %,60 %,40 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,60 %,67 %,60 %,53 %,70 %,33 %,20 %,Placed
Electronics and Communications Engineering,B. Tech.,69 %,73 %,67 %,67 %,45 %,33 %,20 %,
Mechanical Engineering,B. Tech.,64 %,73 %,67 %,53 %,75 %,27 %,00 %,Placed
Computer Science Engineering,B. Tech.,62 %,87 %,27 %,73 %,35 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,60 %,67 %,40 %,73 %,55 %,40 %,00 %,Placed
Applied Electronics and Instrumentation,B. Tech.,64 %,73 %,67 %,53 %,15 %,20 %,20 %,Placed
Applied Electronics and Instrumentation,B. Tech.,56 %,73 %,67 %,27 %,50 %,33 %,20 %,
Mechanical Engineering,B. Tech.,58 %,60 %,47 %,67 %,70 %,20 %,00 %,Placed
Electrical Engineering,B. Tech.,64 %,47 %,80 %,67 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,67 %,67 %,73 %,60 %,50 %,53 %,20 %,
Electrical Engineering,B. Tech.,58 %,60 %,60 %,53 %,45 %,53 %,20 %,Placed
Computer Science Engineering,B. Tech.,58 %,73 %,40 %,60 %,30 %,53 %,20 %,Placed
Electronics and Communications Engineering,B. Tech.,67 %,60 %,60 %,80 %,55 %,33 %,00 %,
Electrical Engineering,B. Tech.,62 %,67 %,53 %,67 %,45 %,47 %,20 %,
Electrical Engineering,B. Tech.,56 %,40 %,80 %,47 %,20 %,27 %,60 %,
Information Technology,B. Tech.,53 %,73 %,20 %,67 %,35 %,53 %,20 %,Placed
Information Technology,B. Tech.,60 %,73 %,40 %,67 %,35 %,33 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,56 %,73 %,33 %,60 %,45 %,53 %,20 %,Placed
